Country,COVID HH Cons (2020),COVID Gov Cons (2020),Energy HH Cons (2022)
DE,-7.086154625629698,7.183072904175127,13.50645242376565
FR,-7.636907210797482,2.6978487216398097,9.618671678512229
IT,-12.30900517865595,2.697147737677859,14.417154463270403
AT,-10.138318711686262,3.863722115062555,16.816634260241138
PL,-4.657856247959166,4.422869110473297,17.227718299593946
GR,-16.052005038391247,2.959188075786643,19.254157956850005
ES,-17.011213124728503,4.880257827594839,15.943584882832685
NL,-6.36204040068673,3.698665884736909,16.03346952759795
