Country,Gov Consumption,HH Consumption,Investment
AT,2.29,-12.3,-8.11
DE,4.75,-9.68,-8.24
ES,9.38,-18.09,-3.76
FR,0.42,-9.85,-7.88
GR,16.68,-11.2,15.18
IT,2.77,-13.8,-6.8
NL,6.7,-9.27,-0.13
PL,7.09,-6.63,-2.48
