Country,Wages (D11),Op. Surplus (B2),HH Consumption,Gov Consumption,Investment,Imports
DE,1571635.0,987860.9051671948,1710173.8240000003,769044.978,736475.983,1102899.951
FR,896977.0,689091.8567088245,1218509.3250000002,587447.39,520133.7970000001,590263.1440000001
IT,500818.00000000023,585417.0463099235,975339.52,346227.0,303972.494,451099.574
AT,160657.00000000006,127764.56295692569,191774.488,81044.288,95590.059,163715.91400000002
PL,185023.00000000006,149906.29767995252,300955.55699999986,100181.161,97842.90499999988,244915.714
GR,50761.99999999999,46389.79720043603,120799.082,38183.670999999995,20607.134,45464.672000000006
