country,region,year,hh_consumption,nominal_index,hicp_deflator,real_index
ES,Sued,2019,764822.4029999999,100.0,100.0,100.0
ES,Sued,2020,634716.834,82.9887868752715,99.7175141242938,83.22388258879917
ES,Sued,2021,704795.771,92.1515593993394,102.82485875706216,89.6199231521048
ES,Sued,2022,817165.483,106.84382149302706,111.5819209039548,95.75370331273818
ES,Sued,2023,886305.351,115.8838113951011,115.5367231638418,100.300413774733
IT,Sued,2019,1112245.929,100.0,100.0,100.0
IT,Sued,2020,975339.52,87.69099482134405,99.90503323836658,87.77435128029968
IT,Sued,2021,1049813.924,94.38685246021701,101.80436847103513,92.71395115728407
IT,Sued,2022,1201167.219,107.99475077242562,110.25641025641026,97.9487274447581
IT,Sued,2023,1270637.044,114.24065585408853,116.7141500474834,97.88072466587079
GR,Sued,2019,143897.519,100.0,100.0,100.0
GR,Sued,2020,120799.082,83.94799496160876,98.84504331087584,84.92888682094596
GR,Sued,2021,134200.587,93.2612236351344,100.0,93.2612236351344
GR,Sued,2022,160039.7799999999,111.2178869463343,110.10587102983638,101.0099515185676
GR,Sued,2023,172313.34,119.74726263348572,114.62945139557266,104.46465648714667
PT,Sued,2019,150659.716,100.0,100.0,100.0
PT,Sued,2020,132113.674,87.69011219960086,99.90592662276576,87.77268292671913
PT,Sued,2021,143257.88900000002,95.08705631703171,101.1288805268109,94.02561940930671
PT,Sued,2022,171545.05999999994,113.86259350176921,109.68955785512699,103.80440556807949
PT,Sued,2023,185131.984,122.88087945154498,114.48730009407338,107.33145017008408
DE,Nord,2019,1840601.707,100.0,100.0,100.0
DE,Nord,2020,1710173.8240000005,92.91384537437033,100.46554934823091,92.48329002045759
DE,Nord,2021,1801856.856,97.89498994526359,103.63128491620111,94.46470727871798
DE,Nord,2022,2045223.795,111.1171301874708,112.01117318435753,99.20182695041035
DE,Nord,2023,2177319.737,118.29391055758704,118.71508379888267,99.64522348144979
AT,Nord,2019,213410.75,100.0,100.0,100.0
AT,Nord,2020,191774.488,89.86168128831375,101.38376383763838,88.63517972386906
AT,Nord,2021,200994.09,94.18180199451058,104.24354243542436,90.34785253278713
AT,Nord,2022,234794.5309999999,110.02001117563192,113.00738007380073,97.35648335868164
AT,Nord,2023,255017.233,119.49596400368773,121.58671586715867,98.28044383914833
NL,Nord,2019,377189.77700000006,100.0,100.0,100.0
NL,Nord,2020,353192.81099999987,93.63795959931326,101.28558310376492,92.44944515290312
NL,Nord,2021,384133.8949999999,101.84101437086399,103.94857667584941,97.97249527373752
NL,Nord,2022,445723.886,118.16966237661313,116.0697887970615,101.80914741149662
NL,Nord,2023,482496.795,127.9188420316068,120.38567493112946,106.25752782030497
FR,Andere,2019,1319259.986,100.0,100.0,100.0
FR,Andere,2020,1218509.3250000002,92.36309278920251,100.56444026340547,91.84468441059146
FR,Andere,2021,1303666.662,98.81802494083982,102.35183443085607,96.5473901765742
FR,Andere,2022,1429062.0779999995,108.32300631908952,108.09031044214488,100.21527912723425
FR,Andere,2023,1547451.4359999998,117.29692800672875,114.20507996237066,102.70727715910432
PL,Andere,2019,315658.475,100.0,100.0,100.0
PL,Andere,2020,300955.55699999986,95.34214375204083,103.47031963470319,92.1444372537376
PL,Andere,2021,328373.996,104.02825268670514,108.58447488584476,95.80398376109514
PL,Andere,2022,384945.3429999999,121.94994701156048,123.83561643835617,98.47728021951234
PL,Andere,2023,433660.4310000001,137.3827935397585,138.08219178082192,99.49349135319811
