country,region,gov_2019,gov_2022,gov_growth_2019_2022_pct,gov_growth_2019_2020_pct,hh_drop_2020_pct,hh_net_change_2019_2022_pct
ES,Sued,234126.995,275810.998,17.804014013847496,4.880257827594827,-17.011213124728503,6.843821493027065
IT,Sued,337133.9980000001,376407.9850000001,11.64937005255697,2.697147737677859,-12.30900517865595,7.994750772425623
GR,Sued,37086.22,41131.772,10.90850456045398,2.9591880757866424,-16.052005038391247,11.217886946334295
PT,Sued,36348.005,42456.40099999998,16.80531297384818,4.439762237294728,-12.309887800399139,13.862593501769215
DE,Nord,717505.999,869814.992,21.22755673294378,7.183072904175127,-7.0861546256296855,11.117130187470808
AT,Nord,78029.44699999999,92346.748,18.34858704047976,3.863722115062555,-10.138318711686262,10.020011175631922
NL,Nord,202261.984,241898.005,19.59637704334988,3.6986658847368945,-6.36204040068673,18.16966237661312
FR,Andere,572015.2830000002,653279.0970000001,14.206580910531349,2.6978487216398097,-7.636907210797482,8.323006319089517
PL,Andere,95937.951,119896.49500000002,24.972957781848002,4.422869110473281,-4.657856247959166,21.949947011560486
